ZIP,Asthma Pctl,pred_asthma_pctl
94590,99.81,105.27533
94509,99.38,103.54384
94601,96.22,103.018295
94607,98.98,102.550064
94607,98.88,102.241974
95202,99.98,102.126
95422,97.67,101.67701
93728,95.0,101.512344
94801,99.26,101.36551
94606,92.36,101.33058
90731,93.62,101.28154
94607,98.98,101.24388
94607,98.98,101.13426
93706,97.22,100.83564
90044,96.73,100.69961
94601,95.55,100.63395
94608,95.81,100.54855
94590,99.81,100.48902
90047,98.54,100.466385
95815,98.77,100.44064
94605,99.24,100.398705
94621,95.58,99.7997
93550,95.64,99.584045
94804,97.61,99.56637
95531,83.15,99.562294
90047,98.26,99.49924
94124,96.44,99.32984
90043,97.08,99.23763
93706,98.17,99.074165
94607,98.98,98.9826
94607,98.98,98.9213
90043,97.23,98.91017
90047,98.09,98.77542
94590,99.81,98.69003
94621,99.54,98.32312
95422,97.4,98.28888
94541,91.44,98.178795
90043,96.83,98.176025
93703,98.63,98.01002
90061,97.02,97.96254
95815,99.14,97.92617
90813,93.79,97.91589
94607,98.98,97.79949
94509,99.24,97.69834
90813,95.84,97.65143
90047,96.51,97.594345
95815,98.73,97.549324
94124,96.44,97.474045
94605,99.2,97.40254
94606,92.36,97.38538
90047,98.47,97.35995
95820,90.24,97.326385
90744,83.0,97.26276
90062,95.23,97.24271
93230,94.63,97.22687
90047,96.19,97.216705
94607,98.75,97.199
94621,99.68,97.11936
95203,98.8,97.066475
93301,99.17,97.06175
90062,97.01,96.8856
93705,96.26,96.83563
94801,93.21,96.825836
90303,87.79,96.814896
90061,95.83,96.81045
94509,99.49,96.79944
95351,94.34,96.78347
93308,82.35,96.78242
94509,99.35,96.77869
95817,84.33,96.77109
95823,98.45,96.725784
93550,91.59,96.69984
90303,90.13,96.67175
92411,98.34,96.534294
93305,97.26,96.49646
94590,99.81,96.49058
90805,91.14,96.47732
94590,99.81,96.46086
94804,97.54,96.380196
90059,98.07,96.37999
94621,99.68,96.34892
94601,91.56,96.335785
90221,91.5,96.31115
95823,98.45,96.24864
90003,90.03,96.178345
90220,96.14,96.146065
90731,93.62,96.113625
92114,91.85,96.08856
94601,95.44,96.02852
94601,97.16,95.991684
95820,93.86,95.99048
94601,97.16,95.963104
90044,91.38,95.949165
90044,96.73,95.94248
94801,99.19,95.936676
94607,97.2,95.894775
90002,89.72,95.86872
95832,94.28,95.79181
92411,98.65,95.779526
95814,90.19,95.74157
90002,93.67,95.7337
90002,87.84,95.72995
92227,95.68,95.671135
94621,99.68,95.50674
95501,93.83,95.50597
90220,95.04,95.46419
93706,98.23,95.45194
93726,97.52,95.44181
93726,97.52,95.42671
93301,99.36,95.36319
93706,98.23,95.3299
94801,98.74,95.30598
90037,84.68,95.30153
94601,97.16,95.2694
90731,93.62,95.24127
90003,95.43,95.224075
90003,95.43,95.20641
93728,96.45,95.1883
94541,85.95,95.098526
94590,99.81,95.047615
92113,94.7,95.01028
90003,95.43,94.98001
93705,98.5,94.953384
94606,91.91,94.948
93703,92.92,94.93394
90044,96.73,94.89271
94601,95.29,94.875496
94601,97.16,94.85713
93305,95.9,94.85265
94806,94.48,94.809326
90003,95.43,94.75744
