Cardiovascular Disease,Ozone,PM2.5,Diesel PM,Drinking Water,Lead,Pesticides,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
21.47,0.060,13.90634758,1.123,733.95,89.60,1.00,1037.095744,70.5,54.25,3.1,0,6,44.5,16,76,12.8,30.3
20.26,0.046,11.88408494,0.538,389.85,77.30,63.13,856.395935,61.9,78.6,1.27,13,9.25,46.4,29.7,73.2,19.8,31.2
20.87,0.048,12.25164028,0.781,787.94,92.56,0.00,2522.622269,38.75,20.5,11.62,7,4.85,52.2,17.1,62.6,6.4,20.3
22.68,0.060,13.52093888,0.174,733.95,68.39,44.57,690.502159,16.5,9.5,2.36,0,5.75,41.4,15.7,65.7,15.7,35.4
22.64,0.060,13.81895941,1.390,733.95,75.41,16.63,909.6508821,10.5,28.25,0.35,0,0,43.6,20,72.7,13.7,32.7
22.2,0.043,12.25258001,0.520,459.74,91.09,0.41,1480.520959,19.4,53.3,2.72,10,5.5,33.1,NA,43.5,9.3,23.7
22.68,0.060,13.55379682,0.097,790.59,65.01,1321.97,243.2723063,15.45,20,0.56,0,5,44.2,21.7,79.5,15.4,33.3
18.18,0.042,12.21666021,0.376,459.20,91.35,1.66,1575.35455,22.5,63.5,1.785,7,1.7,43.3,9.7,56.8,12.6,29.6
14.13,0.061,13.96606425,0.203,788.31,60.36,8.99,438.594055,31.15,48.55,1.205,0,7,52.4,22.4,72.2,16.3,30.8
20.57,0.046,11.87572931,0.520,389.85,79.35,16.09,287.4559495,54,75.85,1.32,2,9,48.6,24,78.8,14.6,33.1
13.45,0.049,12.57687534,1.053,798.87,74.68,0.00,2125.866346,16.8,47.55,2.09,13,0.5,52.1,28.4,71.7,11.9,28.3
12.99,0.041,12.0660607,0.637,805.57,66.07,66.50,3455.239256,16,37.55,7.28,16,4.2,31.6,20.1,51.5,4.5,26.1
